,battery_bid_fcas_power,battery_bid_fcas_price,battery_bid_fcas_type,battery_bid_energy_power_gen,battery_bid_energy_power_load,battery_bid_energy_price,battery_bid_energy_type,fcas_clearing_price,energy_price,raise_demand,raise_price,soe,timestamp
0,46.055351152905565,41.0,gen,0,300.0000000461584,54.9,load,41.0,54.9,41.0,27.81,0,2018-06-01 04:30:00
1,76.41515604147074,41.0,gen,0,299.99999999841606,56.19,load,41.0,56.19,41.0,28.5,304.9998253201099,2018-06-01 05:00:00
2,161.9993702717539,41.0,gen,0,299.9999994517372,58.73,load,41.0,58.73,41.0,24.97,609.9996505924775,2018-06-01 05:30:00
3,199.99999989308253,41.67,gen,0,214.00052462357692,62.98,load,41.67,62.98,41.67,20.59,914.9994753181661,2018-06-01 06:00:00
4,199.99999994131053,47.67,gen,0,100.00000000083594,74.24,load,47.67,74.24,47.67,18.24996,1029,2018-06-01 06:30:00
5,199.99999998346448,75.59,gen,-300.0000000334838,0,229.57,gen,70.0,229.57,75.59,30.0,1029,2018-06-01 07:00:00
6,199.99999983944252,62.14,gen,-229.00022240841065,0,104.33,gen,62.14,104.33,62.14,42.27879,729.0002228932088,2018-06-01 07:30:00
7,199.99999996696056,81.0,gen,-299.99999990507325,0,112.42,gen,70.0,112.42,81.0,35.01569,515.5706354594859,2018-06-01 08:00:00
8,199.9999997321599,81.0,gen,-115.5703104834892,0,103.99,gen,70.0,103.99,81.0,30.0,215.57031232468591,2018-06-01 08:30:00
9,199.99999999116542,78.92,gen,0,299.9999999766543,94.0,load,70.0,94.0,78.92,20.0,99.99967861147005,2018-06-01 09:00:00
10,199.99999967940872,77.67,gen,-299.99979659561427,0,101.52,gen,70.0,101.52,77.67,25.73486,399.9997947852982,2018-06-01 09:30:00
11,199.99999999508915,67.67,gen,0,299.99999996324453,82.94,load,67.67,82.94,67.67,18.89,99.99993098167995,2018-06-01 10:00:00
12,199.99999915110763,61.0,gen,0,299.9999984033545,78.59,load,61.0,78.59,61.0,14.9,403.33676092304023,2018-06-01 10:30:00
13,199.99999931261334,61.0,gen,0,299.9999981820093,78.15,load,61.0,78.15,61.0,20.59,718.3358905251905,2018-06-01 11:00:00
14,199.9999999885963,61.0,gen,0,99.99999991831282,83.36,load,61.0,83.36,61.0,13.794529999999998,1029,2018-06-01 11:30:00
15,2.813081060338953e-07,45.63,gen,-299.99999986933767,0,88.1,gen,63.0,88.1,45.63,16.44944,1029,2018-06-01 12:00:00
