C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/06/25,04:05:33,0000000296333011,,0000000296333005
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/06/24 04:05:00",1,NSW1,0,62.46007,0,62.46007,0,0,6970.17,-30.6416,6447.7,631,-1153.47,0,,,124,,,,,,,,15,,,,,,,,12,,,,,,,,357.87,,,,,,,,220.2,,,,,,,,215.2,,,,,,0,11355.58125,631,7678.26855,7646.3,,33,,,,50.86,,,,,,,,,,,,,,,,,,,9.09,9.09,0,5,5,0,14.49,14.49,0,24.97,24.97,0,0.01,0.01,0,0.05,0.05,0,0.17,0.17,0,10,10,0
D,DREGION,,2,"2018/06/24 04:05:00",1,QLD1,0,52.99646,0,52.99646,0,0,5041.03,-23.91553,6075.89,0,1034.86,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,24,,,,,,,,51,,,,,,,,16,,,,,,0,10164,240,5095.80957,5068.29,,0,,,,27.14,,,,,,,,,,,,,,,,,,,9.09,9.09,0,5,5,0,14.49,14.49,0,24.97,24.97,0,0.01,0.01,0,0.05,0.05,0,0.17,0.17,0,10,10,0
D,DREGION,,2,"2018/06/24 04:05:00",1,SA1,0,73.47812,0,73.47812,0,0,1161.94,-7.64601,651.68,0,-510.26,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2262.684,80,1200.32874,1191.61,,35,,,,0,,,,,,,,,,,,,,,,,,,9.09,9.09,0,5,5,0,14.49,14.49,0,24.97,24.97,0,0.01,0.01,0,0.05,0.05,0,0.17,0.17,0,10,10,0
D,DREGION,,2,"2018/06/24 04:05:00",1,TAS1,0,57.39,0,57.39,0,0,1031.49,2.51511,1310.71,0,279.21,0,,,66.61,,,,,,,,121.41,,,,,,,,12.61,,,,,,,,48.23,,,,,,,,88.16,,,,,,,,40.5,,,,,,0.88745,2314.904,0,1034.38062,1038.15,,50,,,,50,,,,,,,,,,,,,,,,,,,9.09,9.09,0,5,5,0,14.49,14.49,0,15.33,15.33,0,0.01,0.01,0,0.05,0.05,0,0.17,0.17,0,6,6,0
D,DREGION,,2,"2018/06/24 04:05:00",1,VIC1,0,61.1243,0,61.1243,0,0,4324.59,-2.55371,4812.56,0,487.98,0,,,55,,,,,,,,15,,,,,,,,15,,,,,,,,64,,,,,,,,51,,,,,,,,94.67,,,,,,14.69753,7936.016,0,4342.29346,4354.2,,2,,,,2,,,,,,,,,,,,,,,,,,,9.09,9.09,0,5,5,0,14.49,14.49,0,24.97,24.97,0,0.01,0.01,0,0.05,0.05,0,0.17,0.17,0,10,10,0
D,DREGION,,2,"2018/06/24 04:10:00",1,NSW1,0,62.46007,0,62.46007,0,0,6957.02,-19.99658,6502.29,631,-1085.73,0,,,124,,,,,,,,15,,,,,,,,12,,,,,,,,354,,,,,,,,210.2,,,,,,,,205.57,,,,,,-6.5281,11352.94946,631,7654.46191,7619.17,,30.94,,,,50.84,,,,,,,,,,,,,,,,,,,5,5,0,3.03,3.03,0,12.29,12.29,0,24.97,24.97,0,0.01,0.01,0,0.05,0.05,0,0.17,0.17,0,10,10,0
D,DREGION,,2,"2018/06/24 04:10:00",1,QLD1,0,54.67684,0,54.67684,0,0,5338.55,5.81934,6209.94,0,871.38,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,24,,,,,,,,51,,,,,,,,16,,,,,,-8.72729,10164,240,5364.47705,5356.18,,0,,,,25.16,,,,,,,,,,,,,,,,,,,5,5,0,3.03,3.03,0,12.29,12.29,0,24.97,24.97,0,0.01,0.01,0,0.05,0.05,0,0.17,0.17,0,10,10,0
D,DREGION,,2,"2018/06/24 04:10:00",1,SA1,0,71.64524,0,71.64524,0,0,1113.22,-3.02602,654.64,0,-458.58,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,-4.90417,2265.642,80,1187.08521,1137.66,,35.06,,,,0,,,,,,,,,,,,,,,,,,,5,5,0,3.03,3.03,0,12.29,12.29,0,24.97,24.97,0,0.01,0.01,0,0.05,0.05,0,0.17,0.17,0,10,10,0
D,DREGION,,2,"2018/06/24 04:10:00",1,TAS1,0,56.97755,0,56.97755,0,0,1024.15,1.0509,1279.14,0,254.99,0,,,57.34,,,,,,,,119.89,,,,,,,,9.39,,,,,,,,19.26,,,,,,,,28.04,,,,,,,,0,,,,,,0,2319.339,0,1030.60022,1029.65,,50,,,,50,,,,,,,,,,,,,,,,,,,5,5,0,3.03,3.03,0,12.29,12.29,0,15.33,15.33,0,0.01,0.01,0,0.05,0.05,0,0.17,0.17,0,6,6,0
D,DREGION,,2,"2018/06/24 04:10:00",1,VIC1,0,60.52915,0,60.52915,0,0,4263.48,-12.09619,4785.14,0,521.66,0,,,65,,,,,,,,15,,,,,,,,15,,,,,,,,97,,,,,,,,119,,,,,,,,142.67,,,,,,0,7937.481,0,4307.08496,4288.5,,4,,,,4,,,,,,,,,,,,,,,,,,,5,5,0,3.03,3.03,0,12.29,12.29,0,24.97,24.97,0,0.01,0.01,0,0.05,0.05,0,0.17,0.17,0,10,10,0
