C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/06/02,04:05:32,0000000295404789,,0000000295404783
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/06/01 04:05:00",1,NSW1,0,61.45966,0,61.45966,0,0,6799.9,-29.854,5685.17,120,-1234.73,0,,,149,,,,,,,,121.38,,,,,,,,91,,,,,,,,360.43,,,,,,,,307,,,,,,,,291.89,,,,,,0,11017.27039,120,6982.03369,6953.9,,51.5,,,,105.22,,,,,,,,,,,,,,,,,,,13.4,13.4,0,17.87307,17.87307,0,28.5,28.5,0,28.5,28.5,0,0.03,0.03,0,0.15,0.15,0,0.19,0.19,0,14.95,14.95,0
D,DREGION,,2,"2018/06/01 04:05:00",1,QLD1,0,53.82258,0,53.82258,0,0,5308.41,8.28955,6193.44,0,885.04,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,54,,,,,,,,115.76,,,,,,,,68.88,,,,,,0,10113,240,5316.94727,5326.57,,24.5,,,,59.75,,,,,,,,,,,,,,,,,,,13.4,13.4,0,17.87307,17.87307,0,28.5,28.5,0,28.5,28.5,0,0.03,0.03,0,0.15,0.15,0,0.19,0.19,0,14.95,14.95,0
D,DREGION,,2,"2018/06/01 04:05:00",1,SA1,0,55.06083,0,55.06083,0,0,1069.33,-2.03028,1366.23,0,296.9,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2675.233,80,1075.49414,1072.8,,40,,,,0,,,,,,,,,,,,,,,,,,,13.4,13.4,0,17.87307,17.87307,0,28.5,28.5,0,28.5,28.5,0,0.03,0.03,0,0.15,0.15,0,0.19,0.19,0,14.95,14.95,0
D,DREGION,,2,"2018/06/01 04:05:00",1,TAS1,0,78.36,0,78.36,0,0,1162.46,1.21582,1162.46,0,0,0,,,17.32,,,,,,,,80.71,,,,,,,,64.57,,,,,,,,34.4,,,,,,,,103.3,,,,,,,,82.64,,,,,,1.54287,2195.535,0,1159.70471,1162.46,,50,,,,50,,,,,,,,,,,,,,,,,,,8,8,0,4,4,0,8,8,0,8,8,0,0.02,0.02,0,0.18,0.18,0,0.17,0.17,0,1.5,1.5,0
D,DREGION,,2,"2018/06/01 04:05:00",1,VIC1,0,58.78592,0,58.78592,0,0,4380.38,4.47412,4492.84,0,112.46,0,,,106.54,,,,,,,,90,,,,,,,,3.81,,,,,,,,52,,,,,,,,45,,,,,,,,63,,,,,,0,8031.841,0,4380.14307,4384.42,,4,,,,0,,,,,,,,,,,,,,,,,,,13.4,13.4,0,17.87307,17.87307,0,28.5,28.5,0,28.5,28.5,0,0.03,0.03,0,0.15,0.15,0,0.19,0.19,0,14.95,14.95,0
D,DREGION,,2,"2018/06/01 04:10:00",1,NSW1,0,61.0001,0,61.0001,0,0,6807.21,-14.34229,5671.95,120,-1255.26,0,,,149,,,,,,,,122.52,,,,,,,,91,,,,,,,,342.7,,,,,,,,301.89,,,,,,,,293.8,,,,,,-5.82409,11025.63856,120,6985.50293,6963.77,,51.5,,,,104.17,,,,,,,,,,,,,,,,,,,13.4,13.4,0,15,15,0,28.49,28.49,0,28.49,28.49,0,0.03,0.03,0,0.15,0.15,0,0.19,0.19,0,14.95,14.95,0
D,DREGION,,2,"2018/06/01 04:10:00",1,QLD1,0,53.03835,0,53.03835,0,0,5280.4,11.34619,6201.45,0,921.05,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,64,,,,,,,,122.41,,,,,,,,68.5,,,,,,0,10110,240,5289.10059,5300.42,,24.5,,,,69.75,,,,,,,,,,,,,,,,,,,13.4,13.4,0,15,15,0,28.49,28.49,0,28.49,28.49,0,0.03,0.03,0,0.15,0.15,0,0.19,0.19,0,14.95,14.95,0
D,DREGION,,2,"2018/06/01 04:10:00",1,SA1,0,54.3705,0,54.3705,0,0,1032.86,-0.23029,1340.27,0,307.41,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,-10.86738,2674.352,80,1055.34399,1036.75,,40,,,,0,,,,,,,,,,,,,,,,,,,13.4,13.4,0,15,15,0,28.49,28.49,0,28.49,28.49,0,0.03,0.03,0,0.15,0.15,0,0.19,0.19,0,14.95,14.95,0
D,DREGION,,2,"2018/06/01 04:10:00",1,TAS1,0,78.36,0,78.36,0,0,1156.59,0.68289,1156.59,0,0,0,,,17.16,,,,,,,,80.73,,,,,,,,64.58,,,,,,,,35.08,,,,,,,,104.41,,,,,,,,83.53,,,,,,0.4934,2195.249,0,1155.41699,1156.59,,50,,,,50,,,,,,,,,,,,,,,,,,,8,8,0,4,4,0,8,8,0,8,8,0,0.02,0.02,0,0.18,0.18,0,0.17,0.17,0,1.5,1.5,0
D,DREGION,,2,"2018/06/01 04:10:00",1,VIC1,0,58.35694,0,58.35694,0,0,4400.03,4.87354,4491.57,0,91.54,0,,,107.38,,,,,,,,90,,,,,,,,4.25,,,,,,,,52,,,,,,,,45,,,,,,,,63,,,,,,0,8031.568,0,4399.2959,4404.3,,4,,,,0,,,,,,,,,,,,,,,,,,,13.4,13.4,0,15,15,0,28.49,28.49,0,28.49,28.49,0,0.03,0.03,0,0.15,0.15,0,0.19,0.19,0,14.95,14.95,0
