,battery_bid_price,bid_type,battery_bid_power_gen,battery_bid_power_load,r,battery_bid_cleared_power_gen,battery_bid_cleared_power_load,current_state_value,next_state_value,bid_actor_power,bid_actor_price,demand,clearing_price,soe,timestamp,k,loss_actor,loss_critic,loss_actor_sup
0,72.0,load,0,0.0,-0.0,0,0.0,0.009048648178577423,-0.03952222317457199,0.63991654,-8.236461,1628.51,72.0,0.0,2018-06-02,0,8.187803177861497e-05,0.002514742547646165,3219.1494140625
1,61.0,load,0,0.0,-0.0,0,0.0,-0.032893262803554535,-0.008693695068359375,0.18112396,0.21196151,1535.35,61.0,0.0,2018-06-02 00:30:00,0,0.001081966795027256,0.0008575367392040789,1847.6092529296875
2,61.0,load,0,0.0,-0.0,0,0.0,-0.018480461090803146,-0.012033160775899887,0.17453028,0.19730677,1458.06,61.0,0.0,2018-06-02 01:00:00,0,0.0003415274550206959,0.0001915380562422797,1848.4989013671875
3,56.0,load,0,0.0,-0.0,0,0.0,-0.009873073548078537,-0.012023307383060455,0.17553043,0.20790137,1348.32,56.0,0.0,2018-06-02 01:30:00,0,9.747758304001763e-05,1.4328235920402221e-05,1556.39453125
4,48.0,load,0,0.0,-0.0,0,0.0,-0.000511709600687027,-0.010591398924589157,0.17579725,0.21592797,1259.39,48.0,0.0,2018-06-02 02:00:00,0,2.6184670787188224e-07,2.9398768674582243e-05,1141.67431640625
5,42.0,load,0,0.0,-0.0,0,0.0,0.005675517022609711,-0.00819932296872139,0.17546092,0.22164862,1185.8,42.0,0.0,2018-06-02 02:30:00,0,3.221149381715804e-05,0.00010752605157904327,872.7306518554688
6,34.0,load,0,300.0,-174.0,0,300.0,0.0025580711662769318,-0.013911411166191101,0.1752822,0.22627282,1434.45,58.0,300.0,2018-06-02 03:00:00,0,6.54372797725955e-06,30283.455078125,45622.93359375
7,34.0,load,0,300.0,-174.0,0,300.0,-0.00231160968542099,-0.0022730864584445953,0.15561642,0.20791346,1420.63,58.0,600.0,2018-06-02 03:30:00,0,5.343539214663906e-06,30277.625,45617.6484375
8,34.0,load,0,300.0,-174.0,0,300.0,-0.006356712430715561,0.007877860218286514,0.14792298,0.20916428,1388.64,58.0,900.0,2018-06-02 04:00:00,0,4.0407794585917145e-05,30272.70703125,45615.296875
9,34.0,load,0,0.0,-0.0,0,0.0,-0.009689118713140488,0.013323886319994926,0.13931148,0.2102296,1089.06,34.0,900.0,2018-06-02 04:30:00,0,9.387901809532195e-05,0.0003597934846766293,570.884033203125
10,34.0,load,0,0.0,-0.0,0,0.0,-0.01216186210513115,0.015834607183933258,0.14374389,0.21266942,1075.61,34.0,900.0,2018-06-02 05:00:00,0,0.00014791089051868767,0.0005972901708446443,570.8021850585938
11,34.0,load,0,0.0,-0.0,0,0.0,-0.014025848358869553,0.017053479328751564,0.14016724,0.21464229,1079.3,34.0,900.0,2018-06-02 05:30:00,0,0.00019672441703733057,0.0007761502638459206,570.7350463867188
12,34.0,load,0,129.0,-54.18,0,129.0,-0.01686478778719902,0.017713453620672226,0.13662368,0.21696143,1209.46,42.0,1029,2018-06-02 06:00:00,0,0.00028442105394788086,2932.1611328125,8908.7802734375
13,40.0,load,0,0.0,-0.0,0,0.0,-0.019516658037900925,0.016883090138435364,0.12429832,0.21783409,1142.77,40.0,1029,2018-06-02 06:30:00,0,0.00038089993176981807,0.0010814967099577188,791.318115234375
14,42.0,load,0,0.0,-0.0,0,0.0,-0.02213933691382408,0.01638815551996231,0.12029396,0.22025397,1221.83,42.0,1029,2018-06-02 07:00:00,0,0.0004901502397842705,0.0012472717789933085,872.7808837890625
15,51.0,load,0,0.0,-0.0,0,0.0,-0.024611182510852814,0.016339896246790886,0.117111325,0.22475825,1291.25,51.0,1029,2018-06-02 07:30:00,0,0.0006057103164494038,0.0014404645189642906,1289.0694580078125
16,56.0,load,0,0.0,-0.0,0,0.0,-0.02706190198659897,0.0157456174492836,0.11408218,0.2305677,1345.13,56.0,1029,2018-06-02 08:00:00,0,0.000732346554286778,0.0015949381049722433,1555.1212158203125
17,58.0,gen,-300.0,0,14.459399999959617,-24.929999999930374,0,-0.02924089878797531,0.01488116942346096,0.1121068,0.23489179,1407.93,58.0,1004.0700000000696,2018-06-02 08:30:00,0,0.0008550301427021623,210.28379821777344,46634.7734375
18,61.0,gen,-300.0,0,4.745800002202517,-7.7800000036106844,0,-0.03140372782945633,0.014172308146953583,0.11178018,0.23844813,1460.78,61.0,996.289999996459,2018-06-02 09:00:00,0,0.0009861941216513515,22.9359188079834,46812.453125
19,61.0,gen,-300.0,0,9.619699999887509,-15.769999999815589,0,-0.03337206691503525,0.013132868334650993,0.1120747,0.24165533,1468.77,61.0,980.5199999966434,2018-06-02 09:30:00,0,0.0011136948596686125,93.39739990234375,46812.17578125
20,58.0,gen,-300.0,0,9.69180000104239,-16.710000001797223,0,-0.03518896549940109,0.01207275502383709,0.11337069,0.24335892,1399.71,58.0,963.8099999948462,2018-06-02 10:00:00,0,0.0012382633285596967,94.81587982177734,46633.91015625
21,56.0,gen,-300.0,0,26.840799981217806,-47.92999996646037,0,-0.03653738647699356,0.010280745103955269,0.11544325,0.2446937,1360.93,56.0,915.8800000283858,2018-06-02 10:30:00,0,0.001334980595856905,722.8804931640625,46519.69921875
22,48.0,gen,-300.0,0,19.795199999251874,-41.239999998441405,0,-0.03755725920200348,0.008362554013729095,0.11746815,0.24570143,1264.24,48.0,874.6400000299444,2018-06-02 11:00:00,0,0.0014105477603152394,393.6351318359375,46105.0078125
23,42.0,gen,-300.00000001977133,0,10.109399999997644,-24.06999999999439,0,-0.03849596157670021,0.006283115595579147,0.12015084,0.24537463,1189.07,42.0,850.57000002995,2018-06-02 11:30:00,0,0.0014819391071796417,103.092041015625,45835.6875
24,34.0,gen,-300.00000002995,0,4.559400001757496,-13.410000005169104,0,-0.039230845868587494,0.004110783338546753,0.1227027,0.24500722,1088.41,34.0,837.160000024781,2018-06-02 12:00:00,0,0.001539059216156602,21.179073333740234,45532.89453125
25,34.0,gen,-300.0000000247809,0,3.4952000018110443,-10.2800000053266,0,-0.039858583360910416,0.0024783052504062653,0.12698111,0.24468744,1085.28,34.0,826.8800000194543,2018-06-02 12:30:00,0,0.0015887066256254911,12.509869575500488,45531.625
26,30.0,gen,-300.00000001162334,0,6.401999997892083,-21.33999999297361,0,-0.0401914082467556,0.0005157999694347382,0.12962642,0.24592797,1010.34,30.0,805.5400000264807,2018-06-02 13:00:00,0,0.0016153493197634816,41.50199890136719,45403.76953125
27,25.0,gen,-76.5400000264807,0,19.135000006620174,-76.5400000264807,0,-0.040377721190452576,-0.002690151333808899,0.13227947,0.24691711,985.62,25.0,729.0,2018-06-02 13:30:00,0,0.001630360377021134,367.5828857421875,3225.427734375
28,25.0,load,0,300.0,-144.0,0,300.0,-0.042244624346494675,0.006370659917593002,0.13451824,0.24850392,1271.76,48.0,1029,2018-06-02 14:00:00,0,0.0017846082337200642,20722.62109375,45346.68359375
29,30.0,load,0,0.0,-0.0,0,0.0,-0.04352520778775215,0.004178296774625778,0.13529831,0.25544947,996.5,30.0,1029,2018-06-02 14:30:00,0,0.0018944437615573406,0.0020866054110229015,442.3782958984375
30,31.0,load,0,0.0,-0.0,0,0.0,-0.04585286229848862,0.003535836935043335,0.13679294,0.25292635,1045.68,31.0,1029,2018-06-02 15:00:00,0,0.0021024849265813828,0.002250706311315298,472.7006530761719
31,31.0,load,0,0.0,-0.0,0,0.0,-0.04752228781580925,0.002783380448818207,0.13896859,0.2551455,1057.71,31.0,1029,2018-06-02 15:30:00,0,0.0022583678364753723,0.002345835790038109,472.6326599121094
32,40.0,load,0,0.0,-0.0,0,0.0,-0.049271974712610245,0.0024863816797733307,0.14107922,0.25825658,1152.19,40.0,1029,2018-06-02 16:00:00,0,0.002427727449685335,0.002487911144271493,789.7130737304688
33,48.0,load,0,0.0,-0.0,0,0.0,-0.05088988319039345,0.002496045082807541,0.14410162,0.26412487,1252.36,48.0,1029,2018-06-02 16:30:00,0,0.0025897801388055086,0.002658266108483076,1139.3671875
34,56.0,load,0,0.0,-0.0,0,0.0,-0.05255742743611336,0.002487778663635254,0.14643654,0.26997834,1335.8,56.0,1029,2018-06-02 17:00:00,0,0.0027622831985354424,0.002837131032720208,1552.928466796875
35,58.0,load,0,0.0,-0.0,0,0.0,-0.05420555919408798,0.0017116665840148926,0.14539799,0.2762892,1451.79,58.0,1029,2018-06-02 17:30:00,0,0.002938242629170418,0.0029371450655162334,1666.02392578125
36,72.0,load,0,0.0,-0.0,0,0.0,-0.055954378098249435,0.0037326402962207794,0.14493255,0.2800399,1614.18,72.0,1029,2018-06-02 18:00:00,0,0.003130892524495721,0.003359826747328043,2571.886962890625
