,battery_bid_price,bid_type,battery_bid_power_gen,battery_bid_power_load,r,battery_bid_cleared_power_gen,battery_bid_cleared_power_load,current_state_value,next_state_value,bid_actor_power,bid_actor_price,demand,clearing_price,soe,timestamp,k,loss_actor,loss_critic,loss_actor_sup
0,72.0,load,0,0.0,-0.0,0,0.0,0.1838974803686142,0.21354363858699799,0.63991654,-8.236461,1628.51,72.0,0.0,2018-06-02,0,0.033818282186985016,0.001179898506961763,3219.1494140625
1,61.0,load,0,0.0,-0.0,0,0.0,0.1952814906835556,0.21817296743392944,0.18112396,0.21196151,1535.35,61.0,0.0,2018-06-02 00:30:00,0,0.0381348617374897,5.9995840274496004e-05,1847.6092529296875
2,61.0,load,0,0.0,-0.0,0,0.0,0.17760038375854492,0.21296094357967377,0.17453028,0.19730677,1458.06,61.0,0.0,2018-06-02 01:00:00,0,0.03154189512133598,0.0004395697615109384,1848.4989013671875
3,56.0,load,0,0.0,-0.0,0,0.0,0.16420160233974457,0.20677171647548676,0.17553043,0.20790137,1348.32,56.0,0.0,2018-06-02 01:30:00,0,0.026962166652083397,0.0009113078122027218,1556.39453125
4,48.0,load,0,0.0,-0.0,0,0.0,0.15373381972312927,0.19871751964092255,0.17579725,0.21592797,1259.39,48.0,0.0,2018-06-02 02:00:00,0,0.023634087294340134,0.0011913083726540208,1141.67431640625
5,42.0,load,0,0.0,-0.0,0,0.0,0.1449393779039383,0.19051969051361084,0.17546092,0.22164862,1185.8,42.0,0.0,2018-06-02 02:30:00,0,0.021007422357797623,0.0012920118169859052,872.7306518554688
6,34.0,load,0,300.0,-174.0,0,300.0,0.13638758659362793,0.1904066503047943,0.1752822,0.22627282,1434.45,58.0,300.0,2018-06-02 03:00:00,0,0.01860157400369644,30260.83203125,45622.93359375
7,34.0,load,0,300.0,-174.0,0,300.0,0.1260920763015747,0.2096037119626999,0.15561642,0.20791346,1420.63,58.0,600.0,2018-06-02 03:30:00,0,0.015899211168289185,30250.458984375,45617.6484375
8,34.0,load,0,300.0,-174.0,0,300.0,0.11502884328365326,0.2257077991962433,0.14792298,0.20916428,1388.64,58.0,900.0,2018-06-02 04:00:00,0,0.013231635093688965,30241.404296875,45615.296875
9,34.0,load,0,0.0,-0.0,0,0.0,0.10600678622722626,0.22350795567035675,0.13931148,0.2102296,1089.06,34.0,900.0,2018-06-02 04:30:00,0,0.011237438768148422,0.01162206195294857,570.884033203125
10,34.0,load,0,0.0,-0.0,0,0.0,0.09817146509885788,0.22963687777519226,0.14374389,0.21266942,1075.61,34.0,900.0,2018-06-02 05:00:00,0,0.009637636132538319,0.014988236129283905,570.8021850585938
11,34.0,load,0,0.0,-0.0,0,0.0,0.09150457382202148,0.2347714602947235,0.14016724,0.21464229,1079.3,34.0,900.0,2018-06-02 05:30:00,0,0.008373087272047997,0.018124500289559364,570.7350463867188
12,34.0,load,0,129.0,-54.18,0,129.0,0.08516395092010498,0.2472502440214157,0.13662368,0.21696143,1209.46,42.0,1029,2018-06-02 06:00:00,0,0.007252898532897234,2918.910888671875,8908.7802734375
13,40.0,load,0,0.0,-0.0,0,0.0,0.0796450525522232,0.24975983798503876,0.12429832,0.21783409,1142.77,40.0,1029,2018-06-02 06:30:00,0,0.006343334447592497,0.02605244889855385,791.318115234375
14,42.0,load,0,0.0,-0.0,0,0.0,0.0745832771062851,0.2540323734283447,0.12029396,0.22025397,1221.83,42.0,1029,2018-06-02 07:00:00,0,0.005562665406614542,0.029219137504696846,872.7808837890625
15,51.0,load,0,0.0,-0.0,0,0.0,0.06994481384754181,0.2627266049385071,0.117111325,0.22475825,1291.25,51.0,1029,2018-06-02 07:30:00,0,0.00489227706566453,0.03397195041179657,1289.0694580078125
16,56.0,load,0,0.0,-0.0,0,0.0,0.06575183570384979,0.26933085918426514,0.11408218,0.2305677,1345.13,56.0,1029,2018-06-02 08:00:00,0,0.004323303699493408,0.03810007870197296,1555.1212158203125
17,58.0,gen,-300.0,0,14.459399999959617,-24.929999999930374,0,0.061930567026138306,0.27153927087783813,0.1121068,0.23489179,1407.93,58.0,1004.0700000000696,2018-06-02 08:30:00,0,0.003835395211353898,214.9404754638672,46634.7734375
18,61.0,gen,-300.0,0,4.745800002202517,-7.7800000036106844,0,0.05834461748600006,0.2747565805912018,0.11178018,0.23844813,1460.78,61.0,996.289999996459,2018-06-02 09:00:00,0,0.003404094371944666,24.54349136352539,46812.453125
19,61.0,gen,-300.0,0,9.619699999887509,-15.769999999815589,0,0.05503344535827637,0.2765148878097534,0.1120747,0.24165533,1468.77,61.0,980.5199999966434,2018-06-02 09:30:00,0,0.0030286801047623158,96.69282531738281,46812.17578125
20,58.0,gen,-300.0,0,9.69180000104239,-16.710000001797223,0,0.051935985684394836,0.27643680572509766,0.11337069,0.24335892,1399.71,58.0,963.8099999948462,2018-06-02 10:00:00,0,0.0026973464991897345,98.17876434326172,46633.91015625
