,battery_bid_price,bid_type,battery_bid_power_gen,battery_bid_power_load,r,battery_bid_cleared_power_gen,battery_bid_cleared_power_load,current_state_value,next_state_value,bid_actor_power,bid_actor_price,demand,clearing_price,soe,timestamp,k,loss_actor,loss_critic,loss_actor_sup
0,72.0,load,0,0.0,-0.0,0,0.0,-0.2695159316062927,-0.28121525049209595,3.780244,-5.0932274,1628.51,72.0,0.0,2018-06-02,0,0.07263883948326111,7.191971235442907e-05,2978.828125
1,61.0,load,0,0.0,-0.0,0,0.0,-0.2729417383670807,-0.2677754759788513,0.12534149,-0.073673606,1535.35,61.0,0.0,2018-06-02 00:30:00,0,0.07449719309806824,0.00041214810335077345,1865.004638671875
2,61.0,load,0,0.0,-0.0,0,0.0,-0.26417240500450134,-0.2660537660121918,0.12245409,-0.05813742,1458.06,61.0,0.0,2018-06-02 01:00:00,0,0.06978706270456314,0.00014670827658846974,1864.055419921875
3,56.0,load,0,0.0,-0.0,0,0.0,-0.2607910633087158,-0.2647373676300049,0.11753584,-0.037462085,1348.32,56.0,0.0,2018-06-02 01:30:00,0,0.06801197677850723,8.849919686326757e-05,1570.10546875
4,48.0,load,0,0.0,-0.0,0,0.0,-0.25957730412483215,-0.2652145326137543,0.114192754,-0.016968096,1259.39,48.0,0.0,2018-06-02 02:00:00,0,0.0673803761601448,4.731738590635359e-05,1152.821044921875
5,42.0,load,0,0.0,-0.0,0,0.0,-0.25730860233306885,-0.2654076814651489,0.11194812,0.0028858408,1185.8,42.0,0.0,2018-06-02 02:30:00,0,0.06620771437883377,1.3774286344414577e-05,881.885009765625
6,34.0,load,0,300.0,-174.0,0,300.0,-0.26802101731300354,-0.2909684181213379,0.11024724,0.022803321,1434.45,58.0,300.0,2018-06-02 03:00:00,0,0.07183526456356049,30284.73046875,45544.15625
7,34.0,load,0,300.0,-174.0,0,300.0,-0.2813901901245117,-0.2776317596435547,0.11269703,0.039555967,1420.63,58.0,600.0,2018-06-02 03:30:00,0,0.07918044179677963,30275.255859375,45542.8515625
8,34.0,load,0,300.0,-174.0,0,300.0,-0.29026761651039124,-0.2672666311264038,0.13001657,0.062459238,1388.64,58.0,900.0,2018-06-02 04:00:00,0,0.08425528556108475,30268.646484375,45536.88671875
9,34.0,load,0,0.0,-0.0,0,0.0,-0.2963087856769562,-0.2591855525970459,0.14811552,0.08323172,1089.06,34.0,900.0,2018-06-02 04:30:00,0,0.08779889345169067,0.0013863713247701526,575.1845092773438
10,34.0,load,0,0.0,-0.0,0,0.0,-0.3013050854206085,-0.25440260767936707,0.16124938,0.09842616,1075.61,34.0,900.0,2018-06-02 05:00:00,0,0.09078475087881088,0.002269650110974908,574.6713256835938
11,34.0,load,0,0.0,-0.0,0,0.0,-0.3054434061050415,-0.25092417001724243,0.17260996,0.11552662,1079.3,34.0,900.0,2018-06-02 05:30:00,0,0.09329567104578018,0.0031118332408368587,574.0936279296875
12,34.0,load,0,129.0,-54.18,0,129.0,-0.3099833130836487,-0.2468080371618271,0.18386136,0.13550194,1209.46,42.0,1029,2018-06-02 06:00:00,0,0.09608965367078781,2928.5498046875,8870.2001953125
13,40.0,load,0,0.0,-0.0,0,0.0,-0.3141505718231201,-0.2437860369682312,0.20545354,0.15440042,1142.77,40.0,1029,2018-06-02 06:30:00,0,0.09869058430194855,0.0051029217429459095,793.8570556640625
14,42.0,load,0,0.0,-0.0,0,0.0,-0.31809794902801514,-0.24048589169979095,0.22301792,0.17558824,1221.83,42.0,1029,2018-06-02 07:00:00,0,0.10118630528450012,0.006224771961569786,874.6655883789062
15,51.0,load,0,0.0,-0.0,0,0.0,-0.3217962682247162,-0.23677846789360046,0.23979211,0.20532879,1291.25,51.0,1029,2018-06-02 07:30:00,0,0.10355284065008163,0.0074737537652254105,1290.078125
16,56.0,load,0,0.0,-0.0,0,0.0,-0.3253026008605957,-0.23305708169937134,0.25770247,0.24614017,1345.13,56.0,1029,2018-06-02 08:00:00,0,0.10582178086042404,0.00879616104066372,1554.2796630859375
17,58.0,gen,-300.0,0,14.459399999959617,-24.929999999930374,0,-0.3282411992549896,-0.231161430478096,0.27684075,0.2969833,1407.93,58.0,1004.0700000000696,2018-06-02 08:30:00,0,0.10774228721857071,211.95204162597656,46747.9140625
18,61.0,gen,-300.0,0,4.745800002202517,-7.7800000036106844,0,-0.33094924688339233,-0.23139387369155884,0.28316817,0.33096322,1460.78,61.0,996.289999996459,2018-06-02 09:00:00,0,0.10952740162611008,23.499956130981445,46925.359375
19,61.0,gen,-300.0,0,9.619699999887509,-15.769999999815589,0,-0.3333585262298584,-0.2315920889377594,0.2778077,0.3489671,1468.77,61.0,980.5199999966434,2018-06-02 09:30:00,0,0.11112790554761887,94.5574722290039,46922.65234375
20,58.0,gen,-300.0,0,9.69180000104239,-16.710000001797223,0,-0.33557379245758057,-0.23182374238967896,0.2634231,0.3509942,1399.71,58.0,963.8099999948462,2018-06-02 10:00:00,0,0.11260977387428284,96.00778198242188,46740.765625
21,56.0,gen,-300.0,0,26.840799981217806,-47.92999996646037,0,-0.33734655380249023,-0.23344707489013672,0.24723634,0.34630704,1360.93,56.0,915.8800000283858,2018-06-02 10:30:00,0,0.11380269378423691,726.1929321289062,46622.8671875
22,48.0,gen,-300.0,0,19.795199999251874,-41.239999998441405,0,-0.33873414993286133,-0.23359599709510803,0.2300588,0.33395523,1264.24,48.0,874.6400000299444,2018-06-02 11:00:00,0,0.11474082618951797,396.1676025390625,46205.07421875
23,42.0,gen,-300.00000001977133,0,10.109399999997644,-24.06999999999439,0,-0.339941143989563,-0.23401601612567902,0.21378474,0.3207917,1189.07,42.0,850.57000002995,2018-06-02 11:30:00,0,0.11555998027324677,104.42926788330078,45932.734375
24,34.0,gen,-300.00000002995,0,4.559400001757496,-13.410000005169104,0,-0.3410364091396332,-0.23347441852092743,0.19869117,0.30785328,1088.41,34.0,837.160000024781,2018-06-02 12:00:00,0,0.11630583554506302,21.81574249267578,45627.2109375
25,34.0,gen,-300.0000000247809,0,3.4952000018110443,-10.2800000053266,0,-0.3420579433441162,-0.23512506484985352,0.18430969,0.2979311,1085.28,34.0,826.8800000194543,2018-06-02 12:30:00,0,0.11700363457202911,13.003049850463867,45623.21875
26,30.0,gen,-300.00000001162334,0,6.401999997892083,-21.33999999297361,0,-0.34291571378707886,-0.2356674075126648,0.17068738,0.28717482,1010.34,30.0,805.5400000264807,2018-06-02 13:00:00,0,0.11759118735790253,42.42153549194336,45492.64453125
27,25.0,gen,-76.5400000264807,0,19.135000006620174,-76.5400000264807,0,-0.34353575110435486,-0.23702329397201538,0.15828532,0.27797565,985.62,25.0,729.0,2018-06-02 13:30:00,0,0.1180168092250824,370.3974304199219,3246.903076171875
28,25.0,load,0,300.0,-144.0,0,300.0,-0.34593549370765686,-0.23963941633701324,0.14758916,0.2677258,1271.76,48.0,1029,2018-06-02 14:00:00,0,0.11967136710882187,20704.697265625,45261.578125
29,30.0,load,0,0.0,-0.0,0,0.0,-0.34797388315200806,-0.2337886542081833,0.13932732,0.29501176,996.5,30.0,1029,2018-06-02 14:30:00,0,0.12108582258224487,0.013606277294456959,441.202880859375
30,31.0,load,0,0.0,-0.0,0,0.0,-0.3503485918045044,-0.23442767560482025,0.13255966,0.29537573,1045.68,31.0,1029,2018-06-02 15:00:00,0,0.1227441355586052,0.014034911058843136,471.395751953125
31,31.0,load,0,0.0,-0.0,0,0.0,-0.35244107246398926,-0.23498721420764923,0.12553978,0.2989129,1057.71,31.0,1029,2018-06-02 15:30:00,0,0.12421470880508423,0.014419895596802235,471.2862854003906
32,40.0,load,0,0.0,-0.0,0,0.0,-0.355020135641098,-0.23846080899238586,0.11879354,0.30772114,1152.19,40.0,1029,2018-06-02 16:00:00,0,0.1260392963886261,0.014112154953181744,787.74560546875
33,48.0,load,0,0.0,-0.0,0,0.0,-0.3573751151561737,-0.24161642789840698,0.111465216,0.32204583,1252.36,48.0,1029,2018-06-02 16:30:00,0,0.12771697342395782,0.013982508331537247,1136.5999755859375
34,56.0,load,0,0.0,-0.0,0,0.0,-0.35964763164520264,-0.24429723620414734,0.1041543,0.3420761,1335.8,56.0,1029,2018-06-02 17:00:00,0,0.12934641540050507,0.013934741728007793,1548.90771484375
35,58.0,load,0,0.0,-0.0,0,0.0,-0.3618008494377136,-0.24523818492889404,0.09550441,0.37180108,1451.79,58.0,1029,2018-06-02 17:30:00,0,0.13089986145496368,0.014254475943744183,1660.50927734375
36,72.0,load,0,0.0,-0.0,0,0.0,-0.3639129400253296,-0.24888238310813904,0.086998075,0.40973705,1614.18,72.0,1029,2018-06-02 18:00:00,0,0.13243262469768524,0.013934284448623657,2562.5869140625
