,battery_bid_price,battery_bid_power_gen,battery_bid_power_load,battery_bid_cleared_power_gen,battery_bid_cleared_power_load,demand,clearing_price,soe,timestamp
0,67.0,0,0.0,0,0.0,1628.51,72.0,0,2018-06-02
1,56.0,0,0.0,0,0.0,1535.35,61.0,0.0,2018-06-02 00:30:00
2,56.0,0,0.0,0,0.0,1458.06,61.0,0.0,2018-06-02 01:00:00
3,51.0,0,0.0,0,0.0,1348.32,56.0,0.0,2018-06-02 01:30:00
4,43.0,0,0.0,0,0.0,1259.39,48.0,0.0,2018-06-02 02:00:00
5,37.0,0,0.0,0,0.0,1185.8,42.0,0.0,2018-06-02 02:30:00
6,29.0,0,300.0,0,300.0,1434.45,58.0,0.0,2018-06-02 03:00:00
7,29.0,0,300.0,0,300.0,1420.63,58.0,300.0,2018-06-02 03:30:00
8,29.0,0,300.0,0,300.0,1388.64,58.0,600.0,2018-06-02 04:00:00
9,29.0,0.0,0,0.0,0,1089.06,34.0,900.0,2018-06-02 04:30:00
10,29.0,0.0,0,0.0,0,1075.61,34.0,900.0,2018-06-02 05:00:00
11,29.0,0.0,0,0.0,0,1079.3,34.0,900.0,2018-06-02 05:30:00
12,29.0,0,129.0,0,129.0,1209.46,42.0,900.0,2018-06-02 06:00:00
13,35.0,-0.0,0,0.0,0,1142.77,40.0,1029,2018-06-02 06:30:00
14,37.0,-0.0,0,0.0,0,1221.83,42.0,1029,2018-06-02 07:00:00
15,46.0,-0.0,0,0.0,0,1291.25,51.0,1029,2018-06-02 07:30:00
16,51.0,-0.0,0,0.0,0,1345.13,56.0,1029,2018-06-02 08:00:00
17,53.0,-300.0,0,-94.9299999961803,0,1407.93,53.0,1029,2018-06-02 08:30:00
18,56.0,-300.0,0,-147.7799999967691,0,1460.78,56.0,934.0700000038197,2018-06-02 09:00:00
19,56.0,-300.0,0,-155.7699999988292,0,1468.77,56.0,786.2900000070506,2018-06-02 09:30:00
20,53.0,-300.0,0,-86.70999999383501,0,1399.71,53.0,630.5200000082214,2018-06-02 10:00:00
21,51.0,-300.00000000719314,0,-87.9299999958685,0,1360.93,51.0,543.8100000143863,2018-06-02 10:30:00
22,43.0,-300.0,0,-41.24000000405278,0,1264.24,43.0,455.8800000185178,2018-06-02 11:00:00
23,37.0,-300.00000000723253,0,-49.06999995508529,0,1189.07,37.0,414.64000001446504,2018-06-02 11:30:00
24,29.0,-300.0,0,-99.40999985762109,0,1088.41,29.0,365.57000005937977,2018-06-02 12:00:00
25,29.0,-266.1600002017587,0,-96.27999988773392,0,1085.28,29.0,266.1600002017587,2018-06-02 12:30:00
26,25.0,0,259.11999968597524,0,259.11999968597524,1269.4599996859752,48.0,169.88000031402476,2018-06-02 13:00:00
27,20.0,0,300.0,0,300.0,1285.62,51.0,429.0,2018-06-02 13:30:00
28,20.0,0,300.0,0,300.0,1271.76,48.0,729.0,2018-06-02 14:00:00
29,25.0,-0.0,0,0.0,0,996.5,30.0,1029,2018-06-02 14:30:00
30,26.0,-0.0,0,0.0,0,1045.68,31.0,1029,2018-06-02 15:00:00
31,26.0,-0.0,0,0.0,0,1057.71,31.0,1029,2018-06-02 15:30:00
32,35.0,-0.0,0,0.0,0,1152.19,40.0,1029,2018-06-02 16:00:00
33,43.0,-0.0,0,0.0,0,1252.36,48.0,1029,2018-06-02 16:30:00
34,51.0,-0.0,0,0.0,0,1335.8,56.0,1029,2018-06-02 17:00:00
35,53.0,-0.0,0,0.0,0,1451.79,58.0,1029,2018-06-02 17:30:00
36,67.0,-0.0,0,0.0,0,1614.18,72.0,1029,2018-06-02 18:00:00
37,69.0,-129.0,0,-128.99999968421707,0,1764.09,72.0,1029,2018-06-02 18:30:00
