,battery_bid_price,battery_bid_power_gen,battery_bid_power_load,battery_bid_cleared_power_gen,battery_bid_cleared_power_load,clearing_price,soe,timestamp
0,54.9,0,300.0,0,0,40.0,0,2018-06-01 04:30:00
1,56.19,0,300.0,0,0,40.0,0,2018-06-01 05:00:00
2,58.73,0,300.0,0,0,40.0,0,2018-06-01 05:30:00
3,62.98,0,300.0,0,0,56.0,0,2018-06-01 06:00:00
4,74.24,0,300.0,0,0,56.0,0,2018-06-01 06:30:00
5,229.57,0.0,0,0,0,67.0,0,2018-06-01 07:00:00
6,104.33,0,300.0,0,0,71.0,0,2018-06-01 07:30:00
7,112.42,0.0,0,0,0,86.0,0,2018-06-01 08:00:00
8,103.99,0.0,0,0,0,88.0,0,2018-06-01 08:30:00
9,94.0,0,300.0,0,0,86.0,0,2018-06-01 09:00:00
10,101.52,0.0,0,0,0,86.0,0,2018-06-01 09:30:00
11,82.94,0,300.0,0,0,71.0,0,2018-06-01 10:00:00
12,78.59,0,300.0,0,0,67.0,0,2018-06-01 10:30:00
13,78.15,0,300.0,0,0,65.0,0,2018-06-01 11:00:00
14,83.36,0,300.0,0,0,65.0,0,2018-06-01 11:30:00
15,88.1,0,300.0,0,0,65.0,0,2018-06-01 12:00:00
16,85.15,0,300.0,0,0,56.0,0,2018-06-01 12:30:00
17,84.84,0,300.0,0,0,56.0,0,2018-06-01 13:00:00
18,88.41,0,300.0,0,0,56.0,0,2018-06-01 13:30:00
19,87.63,0,300.0,0,0,56.0,0,2018-06-01 14:00:00
20,98.24,0,300.0,0,0,65.0,0,2018-06-01 14:30:00
21,98.71,0,300.0,0,0,65.0,0,2018-06-01 15:00:00
22,91.98,0,300.0,0,0,67.0,0,2018-06-01 15:30:00
23,106.42,0,300.0,0,0,71.0,0,2018-06-01 16:00:00
24,98.16,0,300.0,0,0,71.0,0,2018-06-01 16:30:00
25,116.58,0,300.0,0,0,86.0,0,2018-06-01 17:00:00
26,142.46,0,300.0,0,0,88.0,0,2018-06-01 17:30:00
27,319.69,0.0,0,0,0,90.0,0,2018-06-01 18:00:00
28,148.45,0.0,0,0,0,95.0,0,2018-06-01 18:30:00
29,135.28,0.0,0,0,0,95.0,0,2018-06-01 19:00:00
30,124.63,0,300.0,0,0,95.0,0,2018-06-01 19:30:00
31,127.63,0,300.0,0,0,90.0,0,2018-06-01 20:00:00
32,275.28,0.0,0,0,0,90.0,0,2018-06-01 20:30:00
33,126.18,0,300.0,0,0,88.0,0,2018-06-01 21:00:00
