C,NEMP.WORLD,PRICES,AEMO,PUBLIC,2018/07/07,04:05:40,0000000296741591,,0000000296741585
I,DREGION,,2,SETTLEMENTDATE,RUNNO,REGIONID,INTERVENTION,RRP,EEP,ROP,APCFLAG,MARKETSUSPENDEDFLAG,TOTALDEMAND,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,AGGREGATEDISPATCHERROR,AVAILABLEGENERATION,AVAILABLELOAD,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,RAISE6SECRRP,RAISE6SECROP,RAISE6SECAPCFLAG,RAISE60SECRRP,RAISE60SECROP,RAISE60SECAPCFLAG,RAISE5MINRRP,RAISE5MINROP,RAISE5MINAPCFLAG,RAISEREGRRP,RAISEREGROP,RAISEREGAPCFLAG,LOWER6SECRRP,LOWER6SECROP,LOWER6SECAPCFLAG,LOWER60SECRRP,LOWER60SECROP,LOWER60SECAPCFLAG,LOWER5MINRRP,LOWER5MINROP,LOWER5MINAPCFLAG,LOWERREGRRP,LOWERREGROP,LOWERREGAPCFLAG
D,DREGION,,2,"2018/07/06 04:05:00",1,NSW1,0,52.51928,0,52.51928,0,0,6350.41,-13.55225,4863.24,0,-1487.17,0,,,51.01,,,,,,,,15,,,,,,,,12,,,,,,,,339.14,,,,,,,,225.6,,,,,,,,214.6,,,,,,0,11987.30774,0,6418.20996,6413.4,,43,,,,31.04,,,,,,,,,,,,,,,,,,,2,2,0,2,2,0,2.8,2.8,0,14.79007,14.79007,0,0.02,0.02,0,0.06,0.06,0,0.15,0.15,0,16.45,16.45,0
D,DREGION,,2,"2018/07/06 04:05:00",1,QLD1,0,49.86015,0,49.86015,0,0,5051.87,2.15771,5388.04,0,336.17,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,14,,,,,,,,49.04,,,,,,,,35.89,,,,,,4.24484,9824,240,5047.43213,5054.35,,23,,,,94.96,,,,,,,,,,,,,,,,,,,2,2,0,2,2,0,2.8,2.8,0,14.79007,14.79007,0,0.02,0.02,0,0.06,0.06,0,0.15,0.15,0,16.45,16.45,0
D,DREGION,,2,"2018/07/06 04:05:00",1,SA1,0,10.52457,0,10.52457,0,0,998.23,-6.0699,1099.1,0,100.87,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2895.261,80,1019.34686,1004.2,,0,,,,0,,,,,,,,,,,,,,,,,,,2,2,0,2,2,0,2.8,2.8,0,14.79007,14.79007,0,0.02,0.02,0,0.06,0.06,0,0.15,0.15,0,16.45,16.45,0
D,DREGION,,2,"2018/07/06 04:05:00",1,TAS1,0,9.81088,0,9.81088,0,0,930.33,1.12823,1145.26,0,214.93,0,,,107.81,,,,,,,,116.9,,,,,,,,45.23,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,4.96166,2355.162,0,929.11469,934.14,,50,,,,0,,,,,,,,,,,,,,,,,,,2,2,0,2,2,0,2.8,2.8,0,14.79007,14.79007,0,0.02,0.02,0,0.03,0.03,0,0.04,0.04,0,4.55,4.55,0
D,DREGION,,2,"2018/07/06 04:05:00",1,VIC1,0,26.09658,0,26.09658,0,0,3832.46,-3.51587,4785.62,0,953.16,0,,,95,,,,,,,,51.53,,,,,,,,15,,,,,,,,150,,,,,,,,168.59,,,,,,,,148.74,,,,,,21.85484,9163.65554,0,3864.7749,3875.2,,4,,,,4,,,,,,,,,,,,,,,,,,,2,2,0,2,2,0,2.8,2.8,0,14.79007,14.79007,0,0.02,0.02,0,0.06,0.06,0,0.15,0.15,0,16.45,16.45,0
D,DREGION,,2,"2018/07/06 04:05:00",1,NSW1,1,52.51964,0,52.51964,0,0,6350.41,-13.55225,4974.95,0,-1375.47,0,,,55.82,,,,,,,,15,,,,,,,,12,,,,,,,,349,,,,,,,,225.6,,,,,,,,214.6,,,,,,0,11987.30774,0,6418.20996,6404.07,,42,,,,62.24,,,,,,,,,,,,,,,,,,,3.9,3.9,0,4.23,4.23,0,4.25,4.25,0,23.98,23.98,0,0.02,0.02,0,0.06,0.06,0,0.15,0.15,0,18,18,0
D,DREGION,,2,"2018/07/06 04:05:00",1,QLD1,1,50.19251,0,50.19251,0,0,5051.87,2.15771,5343.67,0,291.8,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,17.24,,,,,,,,36,,,,,,,,13.67,,,,,,4.24484,9824,240,5047.43213,5053.66,,24,,,,13.76,,,,,,,,,,,,,,,,,,,3.9,3.9,0,4.23,4.23,0,4.25,4.25,0,23.98,23.98,0,0.02,0.02,0,0.06,0.06,0,0.15,0.15,0,18,18,0
D,DREGION,,2,"2018/07/06 04:05:00",1,SA1,1,9.77048,0,9.77048,0,0,998.23,-6.0699,1252.71,0,254.48,0,,,40,,,,,,,,19,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,0,2895.261,80,1019.34686,1009.97,,0,,,,0,,,,,,,,,,,,,,,,,,,3.9,3.9,0,4.23,4.23,0,4.25,4.25,0,23.98,23.98,0,0.02,0.02,0,0.06,0.06,0,0.15,0.15,0,18,18,0
D,DREGION,,2,"2018/07/06 04:05:00",1,TAS1,1,9.80893,0,9.80893,0,0,930.33,1.12823,1150.66,0,220.33,0,,,113,,,,,,,,122.09,,,,,,,,45.23,,,,,,,,0,,,,,,,,54.73,,,,,,,,46.06,,,,,,4.96166,2355.162,0,929.11469,934.35,,50,,,,50,,,,,,,,,,,,,,,,,,,3.9,3.9,0,4.23,4.23,0,4.25,4.25,0,18.16,18.16,0,0.02,0.02,0,0.03,0.03,0,0.04,0.04,0,4.55,4.55,0
D,DREGION,,2,"2018/07/06 04:05:00",1,VIC1,1,26.2227,0,26.2227,0,0,3832.46,-3.51587,4563.55,0,731.09,0,,,85,,,,,,,,46.34,,,,,,,,15,,,,,,,,135,,,,,,,,125,,,,,,,,123,,,,,,21.85484,9163.65554,0,3864.7749,3883.49,,4,,,,4,,,,,,,,,,,,,,,,,,,3.9,3.9,0,4.23,4.23,0,4.25,4.25,0,23.98,23.98,0,0.02,0.02,0,0.06,0.06,0,0.15,0.15,0,18,18,0
